round_id,settled_at,token_symbol,predicted_rank,actual_rank,rank_difference,is_breakeven,prediction_score,absolute_score,relative_score,predicted_final_value,risk_adjusted_score,total_games,wins,top3,win_rate,top3_rate,avg_rank,avg_value,value_stddev,change_5m,change_1h,change_4h,change_24h,h2h_score,h2h_data_available,hybrid_predicted_rank,hybrid_rank_difference,hybrid_final_score,hybrid_elo_prob,hybrid_mom_score,hybrid_confidence
ojoCap_1752296418000,"2025-07-12 05:01:08",GOAT,1,4,3,0,94.61,89.8,67.76,87.16,94.61,9,2,8,22.2,88.9,2.67,-0.0001,0.0012,-0.25,-3.53,,-6.75,67.761904761905,1,2,2,55.1,58.3,50,50
ojoCap_1752296418000,"2025-07-12 05:01:08",AIXBT,2,3,1,1,83.91,78.2,62.24,76.28,83.91,17,6,13,35.3,76.5,2.35,0.0007,0.0011,,,,,62.238095238095,1,3,0,48.4,60.8,25,50
ojoCap_1752296418000,"2025-07-12 05:01:08",LINK,3,5,2,0,82.26,76.6,61.48,74.79,82.26,16,2,12,12.5,75,2.88,0.0002,0.0008,,,,,61.47619047619,1,1,4,61.3,40,100,51.2
ojoCap_1752296418000,"2025-07-12 05:01:08",AAVE,4,2,2,1,69.38,64.1,55.52,63.07,69.38,16,5,10,31.3,62.5,2.56,0,0.0009,,,,,55.52380952381,1,4,2,42.7,66,0,50
ojoCap_1752296418000,"2025-07-12 05:01:08",XRP,5,1,4,1,48.15,55.1,51.24,54.64,48.15,13,2,7,15.4,53.8,3.54,-0.0004,0.0008,,,,-21.73,51.238095238095,1,5,4,42.2,24.9,75,50
ojoCap_1752296358000,"2025-07-12 05:00:08",IO,1,5,4,0,86.62,81.6,63.86,79.47,86.62,24,9,19,37.5,79.2,2.38,-0.0002,0.0011,-0.19,-1.77,,-5.57,63.857142857143,1,1,4,74.4,73.8,75,53.3
ojoCap_1752296358000,"2025-07-12 05:00:08",MOVE,2,2,0,1,66.29,64,55.48,62.98,66.29,21,10,13,47.6,61.9,2.52,0,0.0012,,-4.47,,-8.29,55.47619047619,1,3,1,56.9,74.6,25,50
ojoCap_1752296358000,"2025-07-12 05:00:08",BNB,3,4,1,0,58.95,54.8,51.1,54.36,58.95,15,3,8,20,53.3,3.2,0,0.0002,-0.26,-3.05,,-2.05,51.095238095238,1,2,2,58,36.1,100,50
ojoCap_1752296358000,"2025-07-12 05:00:08",BONK,4,1,3,1,55.03,51,49.29,50.79,55.03,10,0,5,0,50,3.5,-0.0002,0.0015,0.02,-1.27,,-8.56,49.285714285714,1,5,4,24.9,38.5,0,50
ojoCap_1752296358000,"2025-07-12 05:00:08",OM,5,3,2,1,46.85,42.9,45.43,43.2,46.85,17,0,7,0,41.2,3.47,-0.0002,0.0014,-0.07,-1.77,,-4.22,45.428571428571,1,4,1,35.5,27,50,50
ojoCap_1752296298000,"2025-07-12 04:59:08",IO,1,2,1,1,85.60,80.6,63.38,78.53,85.6,23,9,18,39.1,78.3,2.39,-0.0002,0.0012,-0.17,-1.75,,-5.54,63.380952380952,1,1,1,66.2,87.8,25,50.1
ojoCap_1752296298000,"2025-07-12 04:59:08",TRUMP,2,5,3,0,77.85,72.3,59.43,70.76,77.85,17,2,12,11.8,70.6,3,-0.0001,0.001,,,,0.04,59.428571428571,1,2,3,65.9,48.3,100,50
ojoCap_1752296298000,"2025-07-12 04:59:08",AVAX,3,3,0,1,62.73,57.9,52.57,57.26,62.73,16,1,9,6.3,56.3,3.25,-0.0001,0.0007,0.07,-0.9,,-1.32,52.571428571429,1,5,2,27.3,42.3,0,50
